"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"20/02/2024","1,55","1,00","38,00","0,25","","175,22%"
"19/02/2024","0,56","0,33","34,75","0,33","","-73,39%"
"16/02/2024","2,12","0,28","7,17","0,14","","299,81%"
"15/02/2024","0,53","0,00","0,53","0,00","","-37,60%"
"14/02/2024","0,85","1,00","4,24","0,17","","15,63%"
"13/02/2024","0,74","10,00","12,00","0,14","","-70,45%"
"12/02/2024","2,49","0,03","4,53","0,03","","41,29%"
"09/02/2024","1,76","3,00","4,33","0,06","","-73,97%"
"08/02/2024","6,77","0,33","51,67","0,33","","1.740,76%"
"07/02/2024","0,37","50,00","50,00","0,10","","-83,62%"
"06/02/2024","2,25","3,00","21,30","0,55","","26,38%"
"05/02/2024","1,78","1,01","5,37","0,85","","238,02%"
"02/02/2024","0,53","0,10","3,54","0,10","","20,09%"
"01/02/2024","0,44","7,00","15,00","0,04","","35,19%"
"31/01/2024","0,32","5,67","7,50","0,32","","-72,77%"
"30/01/2024","1,19","0,50","2,07","0,07","","75,52%"
"29/01/2024","0,68","1,50","1,62","0,07","","-67,10%"
"26/01/2024","2,06","16,00","16,00","0,63","","-35,51%"
"25/01/2024","3,20","5,00","37,37","0,41","","143,78%"
"24/01/2024","1,31","4,00","71,53","0,81","","-63,03%"
"23/01/2024","3,55","10,00","23,24","1,08","","121,35%"
"22/01/2024","1,60","0,38","1,60","0,02","","169,24%"
"19/01/2024","0,60","0,17","0,60","0,02","","-28,14%"
"18/01/2024","0,83","0,41","1,33","0,10","","-30,42%"
"17/01/2024","1,19","2,50","81,83","0,91","","128,41%"
"16/01/2024","0,52","2,67","65,86","0,44","","52,34%"
"15/01/2024","0,34","0,25","1,06","0,03","","-85,97%"
"12/01/2024","2,44","0,32","4,78","0,10","","82,35%"
"11/01/2024","1,34","75,00","76,00","0,36","","27,82%"
"10/01/2024","1,05","0,33","59,74","0,30","","-43,61%"
"09/01/2024","1,86","0,30","3,27","0,08","","60,19%"
"08/01/2024","1,16","0,05","1,16","0,01","","-53,00%"
"05/01/2024","2,46","10,40","10,40","0,05","","214,69%"
"04/01/2024","0,78","2,67","95,00","0,78","","-50,00%"
"03/01/2024","1,57","1,00","2,03","0,03","","72,66%"
"29/12/2023","0,91","2,00","5,38","0,90","","35,37%"
"28/12/2023","0,67","4,00","33,56","0,67","","-62,96%"
"27/12/2023","1,81","3,00","15,43","1,73","","-44,17%"
"22/12/2023","3,24","0,90","5,40","0,63","","684,50%"
"21/12/2023","0,41","9,00","9,00","0,02","","-93,64%"
"20/12/2023","6,49","0,17","10,78","0,17","","1.866,67%"
"19/12/2023","0,33","1,00","2,00","0,33","","-82,17%"
"18/12/2023","1,85","19,00","47,00","1,04","","1,48%"
"15/12/2023","1,82","1,00","2,85","0,01","","-0,82%"
"14/12/2023","1,84","6,00","6,00","0,23","","11,52%"
"13/12/2023","1,65","0,29","2,69","0,13","","36,39%"
"12/12/2023","1,21","3,00","3,00","0,01","","164,55%"
"11/12/2023","0,46","1,00","6,40","0,14","","-72,85%"
"08/12/2023","1,68","0,12","1,94","0,12","","-48,77%"
"07/12/2023","3,29","1,20","5,61","0,02","","-8,39%"
"06/12/2023","3,59","0,30","13,84","0,04","","80,65%"
"05/12/2023","1,99","1,43","22,71","0,10","","-24,61%"
"04/12/2023","2,63","1,00","77,50","1,00","","44,43%"
"01/12/2023","1,82","1,71","8,07","0,14","","41,76%"
"30/11/2023","1,29","0,71","1,33","0,08","","37,54%"
"29/11/2023","0,94","0,04","0,99","0,04","","-48,88%"
"28/11/2023","1,83","1,60","10,33","0,60","","45,27%"
"27/11/2023","1,26","36,33","36,33","0,29","","-10,52%"
"24/11/2023","1,41","4,20","8,80","0,96","","-12,88%"
"23/11/2023","1,62","0,15","2,40","0,00","","1.114,29%"
"22/11/2023","0,13","0,01","0,50","0,01","","-89,76%"
"21/11/2023","1,30","3,00","3,00","0,08","","97,42%"
"20/11/2023","0,66","0,02","1,04","0,02","","-89,68%"
"17/11/2023","6,38","0,53","10,48","0,41","","431,33%"
"16/11/2023","1,20","0,67","2,85","0,11","","155,32%"
"15/11/2023","0,47","2,00","32,00","0,37","","-52,43%"
"14/11/2023","0,99","1,33","6,74","0,14","","-33,38%"
"13/11/2023","1,48","3,11","23,10","0,23","","21,86%"
"10/11/2023","1,22","66,67","66,67","1,05","","150,93%"
"09/11/2023","0,49","2,00","3,57","0,38","","-78,62%"
"08/11/2023","2,27","1,00","9,20","0,51","","1.093,68%"
"07/11/2023","0,19","9,00","10,00","0,02","","-65,83%"
"06/11/2023","0,56","1,00","5,50","0,01","","34,30%"
"03/11/2023","0,41","1,00","1,50","0,02","","-86,39%"
"02/11/2023","3,04","43,00","43,00","0,48","","74,03%"
"01/11/2023","1,75","0,01","5,03","0,01","","83,04%"
"31/10/2023","0,95","0,53","1,71","0,41","","-20,81%"
"30/10/2023","1,21","0,38","1,62","0,14","","11,56%"
"27/10/2023","1,08","0,50","1,08","0,00","","-59,18%"
"26/10/2023","2,65","1,00","16,28","0,20","","114,41%"
"25/10/2023","1,24","1,00","9,00","0,05","","15,64%"
"24/10/2023","1,07","0,00","1,10","0,00","","-2,47%"
"23/10/2023","1,10","0,10","1,15","0,01","","174,44%"
"20/10/2023","0,40","1,50","3,72","0,34","","-83,26%"
"19/10/2023","2,38","18,00","50,00","0,33","","117,82%"
"18/10/2023","1,09","1,50","29,00","1,09","","72,01%"
"17/10/2023","0,64","0,87","0,93","0,06","","-85,83%"
"16/10/2023","4,49","0,71","41,00","0,71","","303,96%"
"13/10/2023","1,11","60,00","61,00","1,11","","37,84%"
"12/10/2023","0,81","4,00","4,00","0,05","","22,12%"
"11/10/2023","0,66","0,01","1,98","0,01","","-59,51%"
"10/10/2023","1,63","1,00","25,00","0,17","","267,12%"
"09/10/2023","0,44","0,01","1,61","0,01","","-77,61%"
"06/10/2023","1,98","78,50","78,50","0,15","","13,44%"
"05/10/2023","1,75","11,67","39,84","0,83","","63,21%"
"04/10/2023","1,07","2,50","4,92","0,18","","44,53%"
"03/10/2023","0,74","0,28","1,61","0,14","","38,25%"
"02/10/2023","0,54","5,00","16,83","0,02","","-27,27%"
"29/09/2023","0,74","2,00","85,75","0,25","","-78,40%"
"28/09/2023","3,41","0,50","33,99","0,08","","33,86%"
"27/09/2023","2,55","0,27","3,16","0,14","","14,82%"
"26/09/2023","2,22","0,04","8,23","0,04","","-34,97%"
"25/09/2023","3,41","1,00","10,00","0,30","","88,93%"
"22/09/2023","1,81","0,02","2,51","0,02","","21,60%"
"21/09/2023","1,49","1,15","2,00","0,19","","-11,28%"
"20/09/2023","1,67","0,67","5,97","0,01","","159,29%"
"19/09/2023","0,65","0,01","0,65","0,01","","-77,36%"
"18/09/2023","2,85","1,71","3,19","0,18","","345,78%"
"15/09/2023","0,64","12,00","12,00","0,38","","-63,78%"
"14/09/2023","1,77","0,30","2,46","0,04","","6,64%"
"13/09/2023","1,66","3,67","13,68","0,90","","116,04%"
"12/09/2023","0,77","2,00","25,00","0,12","","-58,16%"
"11/09/2023","1,83","0,20","2,47","0,08","","42,53%"
"08/09/2023","1,29","3,00","33,00","0,05","","-23,45%"
"07/09/2023","1,68","1,00","3,00","0,11","","161,68%"
"06/09/2023","0,64","0,06","13,78","0,06","","-19,35%"
"05/09/2023","0,80","2,00","2,17","0,03","","-68,91%"
"04/09/2023","2,56","4,00","53,50","0,60","","-0,78%"
"01/09/2023","2,58","1,00","18,79","0,08","","142,94%"
"31/08/2023","1,06","1,00","40,96","0,50","","20,27%"
"30/08/2023","0,88","1,00","8,33","0,84","","9,69%"
"29/08/2023","0,81","1,97","3,59","0,81","","-35,65%"
"28/08/2023","1,25","10,00","10,00","0,82","","-69,87%"
"25/08/2023","4,15","1,00","98,33","0,88","","173,34%"
"24/08/2023","1,52","1,00","65,50","1,00","","47,19%"
"23/08/2023","1,03","44,00","44,00","0,43","","93,62%"
"22/08/2023","0,53","5,25","12,83","0,03","","-7,63%"
"21/08/2023","0,58","0,50","80,08","0,40","","-57,51%"
"18/08/2023","1,36","4,00","4,00","0,04","","-42,06%"
"17/08/2023","2,34","20,00","20,00","0,31","","134,17%"
"16/08/2023","1,00","1,00","2,03","0,05","","-8,92%"
"15/08/2023","1,10","0,15","2,16","0,14","","-44,21%"
"14/08/2023","1,97","6,45","6,93","1,25","","50,38%"
"11/08/2023","1,31","0,49","2,39","0,49","","-30,17%"
"10/08/2023","1,88","2,57","47,63","1,88","","-1,73%"
"09/08/2023","1,91","0,20","45,53","0,20","","113,77%"
"08/08/2023","0,89","1,00","51,00","0,30","","-77,62%"
"07/08/2023","3,99","12,50","17,46","1,96","","419,66%"
"04/08/2023","0,77","1,02","1,02","0,05","","-40,05%"
"03/08/2023","1,28","4,40","8,80","0,30","","-38,41%"
"02/08/2023","2,08","16,00","16,00","0,07","","57,34%"
"31/07/2023","1,32","1,00","56,50","1,00","","345,12%"
"28/07/2023","0,30","50,00","50,00","0,12","","-47,89%"
"27/07/2023","0,57","2,00","2,00","0,07","","-62,45%"
"26/07/2023","1,52","0,05","1,52","0,05","","47,09%"
"25/07/2023","1,03","1,50","1,50","0,01","","-70,49%"
"24/07/2023","3,50","11,00","11,00","0,17","","306,63%"
"21/07/2023","0,86","0,16","0,86","0,07","","-29,97%"
"20/07/2023","1,23","0,20","68,25","0,20","","11,84%"
"19/07/2023","1,10","1,00","2,66","0,08","","17,81%"
"18/07/2023","0,93","7,70","12,70","0,13","","-81,59%"
"17/07/2023","5,06","2,00","11,36","0,79","","807,17%"
"14/07/2023","0,56","0,05","1,08","0,05","","-63,81%"
"13/07/2023","1,54","1,33","59,00","1,03","","290,38%"
"12/07/2023","0,40","1,00","5,59","0,04","","-23,30%"
"11/07/2023","0,51","1,00","11,90","0,51","","146,41%"
"10/07/2023","0,21","45,00","56,67","0,20","","-79,90%"
"07/07/2023","1,04","6,67","59,00","0,48","","26,67%"
"06/07/2023","0,82","0,25","4,40","0,25","","-73,64%"
"05/07/2023","3,12","0,33","5,00","0,12","","539,63%"
"04/07/2023","0,49","0,03","0,87","0,01","","-53,40%"
"03/07/2023","1,04","2,00","7,34","0,43","","-49,05%"
"30/06/2023","2,05","9,00","14,60","0,43","","9,33%"
"29/06/2023","1,88","0,50","38,67","0,50","","-46,46%"
"28/06/2023","3,50","25,00","35,00","0,47","","25,37%"
"27/06/2023","2,80","5,00","6,50","0,91","","95,59%"
"26/06/2023","1,43","1,00","3,16","0,25","","25,35%"
"23/06/2023","1,14","5,00","20,00","0,30","","-65,65%"
"22/06/2023","3,32","7,92","17,25","1,28","","122,16%"
"21/06/2023","1,49","2,00","3,26","0,01","","16,08%"
"20/06/2023","1,29","1,25","5,66","0,31","","73,45%"
"19/06/2023","0,74","29,00","29,00","0,24","","-7,37%"
"16/06/2023","0,80","16,00","56,00","0,37","","-5,43%"
"15/06/2023","0,85","2,50","20,50","0,37","","-34,14%"
"14/06/2023","1,29","7,40","10,10","0,79","","-32,39%"
"13/06/2023","1,90","0,50","80,00","0,50","","136,86%"
"12/06/2023","0,80","8,00","14,00","0,46","","-52,37%"
"09/06/2023","1,69","0,00","2,20","0,00","","65,29%"
"08/06/2023","1,02","25,00","75,00","0,79","","-40,28%"
"07/06/2023","1,71","1,00","22,64","0,04","","224,71%"
"06/06/2023","0,53","1,59","2,53","0,53","","-55,16%"
"05/06/2023","1,17","7,50","16,00","0,55","","-34,25%"
"02/06/2023","1,78","54,50","54,50","0,65","","-37,75%"
"01/06/2023","2,87","4,00","4,01","0,06","","119,28%"
"31/05/2023","1,31","0,33","1,62","0,01","","24,36%"
"30/05/2023","1,05","1,00","76,50","0,05","","332,51%"
"26/05/2023","0,24","0,50","62,00","0,16","","-72,35%"
"25/05/2023","0,88","0,33","2,21","0,01","","-81,26%"
"24/05/2023","4,69","40,80","40,80","4,52","","12,90%"
"23/05/2023","4,16","1,00","10,82","0,96","","68,01%"
"22/05/2023","2,47","0,10","9,06","0,10","","296,31%"
"19/05/2023","0,62","30,00","82,80","0,62","","-53,29%"
"17/05/2023","1,34","1,30","3,00","0,63","","50,62%"
"16/05/2023","0,89","2,50","2,50","0,08","","-76,03%"
"15/05/2023","3,70","1,67","7,58","0,23","","95,35%"
"12/05/2023","1,89","9,00","57,00","1,71","","14,86%"
"11/05/2023","1,65","0,25","8,75","0,05","","-79,11%"
"10/05/2023","7,89","54,00","86,67","7,71","","823,16%"
"09/05/2023","0,86","3,00","18,50","0,44","","-74,47%"
"08/05/2023","3,35","2,00","17,00","2,00","","22,40%"
"05/05/2023","2,74","0,12","2,74","0,05","","2.037,50%"
"04/05/2023","0,13","10,00","10,00","0,12","","-95,46%"
"03/05/2023","2,82","10,00","80,50","2,82","","506,24%"
"02/05/2023","0,47","2,50","3,00","0,15","","-72,04%"
