Date,Close,Daily Return,Volatility (%),Put-Call Ratio,PCR Sentiment,Consecutive Signal,Signal Streak,Initial Weight,Adjusted Weight,Normalized Weight,Portfolio Return
2023-02-09,188.6810913085937,-10.89183299347467,26.62355005645356,1.13,Neutral,14,1,0.2,0.2,0.004860267314702309,-0.05293721989538115
2023-02-10,189.20098876953125,0.2755429584023305,26.62355005645356,2.13,Bearish,15,1,0.2,0.15000000000000002,0.0036452004860267322,0.001004409325889419
2023-02-13,192.5853881835937,1.788785268022619,26.62355005645356,24.23,Bearish,15,2,0.2,0.1,0.0024301336573511545,0.004346987285595672
2023-02-14,191.133529663086,-0.753877817108195,26.62355005645356,0.17,Bullish,16,1,0.2,0.25,0.006075334143377886,-0.004580059642212607
2023-02-15,194.36094665527344,1.6885666255818776,26.62355005645356,0.79,Neutral,17,1,0.2,0.2,0.004860267314702309,0.008206885179012772
2023-02-16,188.0336456298828,-3.255438468620442,26.62355005645356,14.82,Bearish,18,1,0.2,0.15000000000000002,0.0036452004860267322,-0.011866725888045356
2023-02-17,186.05206298828125,-1.0538447175044483,26.62355005645356,0.46,Bullish,19,1,0.2,0.25,0.006075334143377886,-0.006402458794073198
2023-02-21,181.49053955078125,-2.4517456910904123,26.62355005645356,0.29,Bullish,19,2,0.2,0.30000000000000004,0.0072904009720534645,-0.017874209169553436
2023-02-22,181.7554168701172,0.1459455242083462,26.62355005645356,0.22,Bullish,19,3,0.2,0.35000000000000003,0.008505467800729041,0.0012413349568146093
2023-02-23,184.7451629638672,1.6449281926417036,26.62355005645356,14.9,Bearish,20,1,0.2,0.15000000000000002,0.0036452004860267322,0.005996093047296612
2023-02-24,183.0535888671875,-0.9156256486187564,26.62355005645356,9.08,Bearish,20,2,0.2,0.1,0.0024301336573511545,-0.0022250927062424214
2023-02-27,185.2172088623047,1.18195988863512,26.62355005645356,29.92,Bearish,20,3,0.2,0.04999999999999999,0.0012150668286755768,0.0014361602535056131
2023-02-28,184.9221649169922,-0.1592961837211581,26.62355005645356,0.77,Neutral,21,1,0.2,0.2,0.004860267314702309,-0.0007742220350967588
2023-03-01,185.4040679931641,0.2605977906370516,26.62355005645356,1.71,Bearish,22,1,0.2,0.15000000000000002,0.0036452004860267322,0.000949931193087673
2023-03-02,185.26641845703125,-0.0742429967275026,26.62355005645356,2.94,Bearish,22,2,0.2,0.1,0.0024301336573511545,-0.0001804204051701157
2023-03-03,186.8104553222656,0.8334143219768109,26.62355005645356,1.13,Neutral,23,1,0.2,0.2,0.004860267314702309,0.00405061638870868
2023-03-06,183.08306884765625,-1.9952772280219968,26.62355005645356,1.23,Bearish,24,1,0.2,0.15000000000000002,0.0036452004860267322,-0.007273185521343854
2023-03-07,178.6869659423828,-2.4011520742704184,26.62355005645356,1.25,Bearish,24,2,0.2,0.1,0.0024301336573511545,-0.005835120472103083
2023-03-08,177.31007385253906,-0.7705610101901517,26.62355005645356,0.12,Bullish,25,1,0.2,0.25,0.006075334143377886,-0.004681415614763983
2023-03-09,179.50326538085938,1.2369243781062744,26.62355005645356,0.99,Neutral,26,1,0.2,0.2,0.004860267314702309,0.006011783125668406
2023-03-10,174.5662078857422,-2.750399824004335,26.62355005645356,0.98,Neutral,26,2,0.2,0.2,0.004860267314702309,-0.013367678366971251
2023-03-13,175.64805603027344,0.6197351467011059,26.62355005645356,0.92,Neutral,26,3,0.2,0.2,0.004860267314702309,0.0030120784772836254
2023-03-14,175.5890350341797,-0.033601849873921,26.62355005645356,1.84,Bearish,27,1,0.2,0.15000000000000002,0.0036452004860267322,-0.00012248547949181412
2023-03-15,173.47454833984375,-1.204224793378661,26.62355005645356,1.19,Neutral,28,1,0.2,0.2,0.004860267314702309,-0.005852854402812448
2023-03-16,175.76605224609375,1.3209453076429734,26.62355005645356,0.29,Bullish,29,1,0.2,0.25,0.006075334143377886,0.008025184129058161
2023-03-17,173.64175415039062,-1.2085940763628569,26.62355005645356,5.84,Bearish,30,1,0.2,0.15000000000000002,0.0036452004860267322,-0.004405567714566915
2023-03-20,178.26406860351562,2.66198327455367,26.62355005645356,4.44,Bearish,30,2,0.2,0.1,0.0024301336573511545,0.006468975150798712
2023-03-21,181.440673828125,1.7819660739790466,26.62355005645356,3.08,Bearish,30,3,0.2,0.04999999999999999,0.0012150668286755768,0.0021652078663171883
2023-03-22,178.4410858154297,-1.653205948483616,26.62355005645356,1.81,Bearish,30,4,0.2,0.04999999999999999,0.0012150668286755768,-0.0020087557089715864
2023-03-23,178.42141723632812,-0.0110224497971822,26.62355005645356,2.33,Bearish,30,5,0.2,0.04999999999999999,0.0012150668286755768,-1.3393013119297932e-05
2023-03-24,182.1389312744141,2.0835581824585114,26.62355005645356,1.31,Bearish,30,6,0.2,0.04999999999999999,0.0012150668286755768,0.0025316624331209125
2023-03-27,183.240463256836,0.6047756922227032,26.62355005645356,0.04,Bullish,31,1,0.2,0.25,0.006075334143377886,0.0036742144120455846
2023-03-28,182.24713134765625,-0.5420920093327841,26.62355005645356,1.49,Bearish,32,1,0.2,0.15000000000000002,0.0036452004860267322,-0.0019760340558910724
